127.0.0.1 - - [10/May/2017:22:30:06 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [10/May/2017:22:30:18 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 500 17789
0:0:0:0:0:0:0:1 - - [10/May/2017:22:30:56 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 5874
0:0:0:0:0:0:0:1 - - [10/May/2017:22:30:57 +0530] "GET /ShoppingCartFrontEnd/resources/images/shopimg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/shopping_cart_cover.dfzb1u50v3wc8ksowk8gk8wgc.26qeyncemmo0w4w4sgokogcgw.th%20(1).jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/469788-online-shopping.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:15 +0530] "GET /ShoppingCartFrontEnd/LoginPage HTTP/1.1" 200 5245
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:35 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 5874
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:35 +0530] "GET /ShoppingCartFrontEnd/resources/images/shopping_cart_cover.dfzb1u50v3wc8ksowk8gk8wgc.26qeyncemmo0w4w4sgokogcgw.th%20(1).jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:35 +0530] "GET /ShoppingCartFrontEnd/resources/images/469788-online-shopping.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:35 +0530] "GET /ShoppingCartFrontEnd/resources/images/shopimg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:31:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [10/May/2017:22:32:09 +0530] "GET /ShoppingCartFrontEnd/LoginPage HTTP/1.1" 200 5245
0:0:0:0:0:0:0:1 - - [10/May/2017:22:32:11 +0530] "GET /ShoppingCartFrontEnd/validate?username=mani&password=maha HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [10/May/2017:22:32:14 +0530] "GET /ShoppingCartFrontEnd/manageCategories HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [10/May/2017:22:32:21 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:05 +0530] "GET /ShoppingCartFrontEnd/manageProducts HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:07 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:09 +0530] "GET /ShoppingCartFrontEnd/manageCategories HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:10 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:11 +0530] "GET /ShoppingCartFrontEnd/manageCategories HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:14 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:34:15 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:35:41 +0530] "GET /ShoppingCartFrontEnd/manage_supplier_add?id=162&name=scscascsc&description=dcdcdc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:35:41 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers?isAdminClickedSuppliers=true&isAdmin=true&message=Supplier+created+successfuly+ HTTP/1.1" 200 9868
0:0:0:0:0:0:0:1 - - [10/May/2017:22:35:45 +0530] "GET /ShoppingCartFrontEnd/manage_supplier_delete/162 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2017:22:35:45 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers?message=successfully+deleted+the+supplier HTTP/1.1" 200 9512
0:0:0:0:0:0:0:1 - - [10/May/2017:22:41:49 +0530] "GET /ShoppingCartFrontEnd/manageCategories HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [10/May/2017:22:43:30 +0530] "GET /ShoppingCartFrontEnd/manageCategories HTTP/1.1" 200 8879
0:0:0:0:0:0:0:1 - - [10/May/2017:22:43:33 +0530] "GET /ShoppingCartFrontEnd/manageSuppliers HTTP/1.1" 200 9512
